symbol,model_name,prediction_col,forecast_col,model_role,min_weight,max_weight,role_multiplier,recent_mape,directional_accuracy,observation_count,naive_recent_mape,skill_vs_naive_multiplier,direction_multiplier,price_accuracy_score,raw_score,final_weight,final_weight_pct
SPGI,recent_linear_trend_252d,predicted_recent_linear_trend_252d,forecast_recent_linear_trend_252d,aggressive trend baseline,0.0,0.15,0.8,9.670941,0.505618,90,1.5274529101572405,0.75,1.003370786516854,0.10079688968360255,0.0606819927,0.021672182905533185,2.1672
SPGI,recent_momentum_10d,predicted_recent_momentum_10d,forecast_recent_momentum_10d,short-term momentum model,0.04,0.5,1.05,1.647739,0.52809,90,1.5274529101572405,0.95,1.0168539325842696,0.5269428075239689,0.5344843064,0.23088762803544816,23.0888
SPGI,adaptive_blended_momentum,predicted_adaptive_blended_momentum,forecast_adaptive_blended_momentum,main directional model,0.08,0.7,1.12,1.577944,0.505618,90,1.5274529101572405,1.1,1.003370786516854,0.5470627475491345,0.6762531521,0.3215194582937654,32.1519
SRE,naive,predicted_naive,forecast_naive,stability anchor,0.05,0.25,0.85,0.959677,0.011236,90,0.9596774212052894,0.85,0.7067415730337078,0.8266666654021098,0.4221131829,0.13943016228365215,13.943
SRE,moving_average_30d,predicted_moving_average_30d,forecast_moving_average_30d,smoothing baseline,0.03,0.2,0.95,2.814923,0.438202,90,0.9596774212052894,0.75,0.9629213483146066,0.32627251191428014,0.2238495216,0.07742542960437335,7.7425
SRE,drift,predicted_drift,forecast_drift,long-term baseline,0.03,0.2,0.95,0.956277,0.561798,90,0.9596774212052894,1.1,1.0370786516853931,0.8289968467504926,0.898423004,0.2,20.0
SRE,recent_linear_trend_252d,predicted_recent_linear_trend_252d,forecast_recent_linear_trend_252d,aggressive trend baseline,0.0,0.15,0.8,3.25523,0.550562,90,0.9596774212052894,0.75,1.0303370786516854,0.2852879751301708,0.1763656673,0.037365358130854356,3.7365
SRE,recent_momentum_10d,predicted_recent_momentum_10d,forecast_recent_momentum_10d,short-term momentum model,0.04,0.5,1.05,0.961058,0.52809,90,0.9596774212052894,1.1,1.0168539325842696,0.8257243741324065,0.969785444,0.24546164667896547,24.5462
SRE,adaptive_blended_momentum,predicted_adaptive_blended_momentum,forecast_adaptive_blended_momentum,main directional model,0.08,0.7,1.12,0.954691,0.52809,90,0.9596774212052894,1.1,1.0168539325842696,0.8300885449274454,1.0399050832,0.3003174033021547,30.0317
STE,naive,predicted_naive,forecast_naive,stability anchor,0.05,0.25,0.85,1.300346,0.0,90,1.3003455262727022,0.85,0.7,0.6450175029073502,0.3262176021,0.15284220831630713,15.2842
STE,moving_average_30d,predicted_moving_average_30d,forecast_moving_average_30d,smoothing baseline,0.03,0.2,0.95,4.084527,0.516854,90,1.3003455262727022,0.75,1.0101123595505617,0.2307056935096375,0.1660400541,0.08234520063840167,8.2345
STE,drift,predicted_drift,forecast_drift,long-term baseline,0.03,0.2,0.95,1.302648,0.460674,90,1.3003455262727022,1.1,0.9764044943820225,0.6440607933409387,0.6571627267,0.2,20.0
STE,recent_linear_trend_252d,predicted_recent_linear_trend_252d,forecast_recent_linear_trend_252d,aggressive trend baseline,0.0,0.15,0.8,9.437291,0.483146,90,1.3003455262727022,0.75,0.9898876404494381,0.10322802897325167,0.06131049,0.019328528398889114,1.9329
STE,recent_momentum_10d,predicted_recent_momentum_10d,forecast_recent_momentum_10d,short-term momentum model,0.04,0.5,1.05,1.399756,0.483146,90,1.3003455262727022,0.95,0.9898876404494381,0.6061503175288597,0.5985206558,0.2286875066543956,22.8688
STE,adaptive_blended_momentum,predicted_adaptive_blended_momentum,forecast_adaptive_blended_momentum,main directional model,0.08,0.7,1.12,1.351508,0.460674,90,1.3003455262727022,1.1,0.9764044943820225,0.6244115121411198,0.7511235508,0.31679655599200646,31.6797
STLD,naive,predicted_naive,forecast_naive,stability anchor,0.05,0.25,0.85,1.894808,0.0,90,1.8948076480367022,0.85,0.7,0.46624227627842174,0.2358020312,0.15117829508997138,15.1178
STLD,moving_average_30d,predicted_moving_average_30d,forecast_moving_average_30d,smoothing baseline,0.03,0.2,0.95,7.909047,0.449438,90,1.8948076480367022,0.75,0.9696629213483146,0.12256332974166576,0.0846771454,0.06633339866176705,6.6333
STLD,drift,predicted_drift,forecast_drift,long-term baseline,0.03,0.2,0.95,1.879418,0.58427,90,1.8948076480367022,1.1,1.050561797752809,0.4696119104137303,0.5155573678,0.2,20.0
STLD,recent_linear_trend_252d,predicted_recent_linear_trend_252d,forecast_recent_linear_trend_252d,aggressive trend baseline,0.0,0.15,0.8,8.826429,0.449438,90,1.8948076480367022,0.75,0.9696629213483146,0.11017548453765738,0.0640998493,0.02750406107960697,2.7504
STLD,recent_momentum_10d,predicted_recent_momentum_10d,forecast_recent_momentum_10d,short-term momentum model,0.04,0.5,1.05,1.995597,0.52809,90,1.8948076480367022,0.95,1.0168539325842696,0.445315875739726,0.4516891465,0.2338114676726093,23.3811
STLD,adaptive_blended_momentum,predicted_adaptive_blended_momentum,forecast_adaptive_blended_momentum,main directional model,0.08,0.7,1.12,1.949296,0.505618,90,1.8948076480367022,1.1,1.003370786516854,0.45469094947491673,0.5620674944,0.32117277749604534,32.1173
STT,naive,predicted_naive,forecast_naive,stability anchor,0.05,0.25,0.85,1.404566,0.0,90,1.4045656025197943,0.85,0.7,0.6043882445501502,0.3056693547,0.1445624008305409,14.4562
STT,moving_average_30d,predicted_moving_average_30d,forecast_moving_average_30d,smoothing baseline,0.03,0.2,0.95,4.681865,0.539326,90,1.4045656025197943,0.75,1.0235955056179775,0.20276304899934103,0.1478774838,0.07574763443307715,7.5748
STT,drift,predicted_drift,forecast_drift,long-term baseline,0.03,0.2,0.95,1.387648,0.617978,90,1.4045656025197943,1.1,1.0707865168539326,0.6106318896805008,0.683279932,0.2,20.0
STT,recent_linear_trend_252d,predicted_recent_linear_trend_252d,forecast_recent_linear_trend_252d,aggressive trend baseline,0.0,0.15,0.8,5.692935,0.58427,90,1.4045656025197943,0.75,1.050561797752809,0.1682670145550246,0.1060649384,0.03281243299112274,3.2812
STT,recent_momentum_10d,predicted_recent_momentum_10d,forecast_recent_momentum_10d,short-term momentum model,0.04,0.5,1.05,1.472559,0.47191,90,1.4045656025197943,1.1,0.9831460674157303,0.5805317905130138,0.6592134166,0.24393540399170982,24.3935
