symbol,model_name,prediction_col,forecast_col,model_role,min_weight,max_weight,role_multiplier,recent_mape,directional_accuracy,observation_count,naive_recent_mape,skill_vs_naive_multiplier,direction_multiplier,price_accuracy_score,raw_score,final_weight,final_weight_pct
T,recent_momentum_10d,predicted_recent_momentum_10d,forecast_recent_momentum_10d,short-term momentum model,0.04,0.5,1.05,1.341054,0.47191,90,1.2595048520342516,0.95,0.9831460674157303,0.6285143172793158,0.6163765759,0.22559564140908417,22.5596
T,adaptive_blended_momentum,predicted_adaptive_blended_momentum,forecast_adaptive_blended_momentum,main directional model,0.08,0.7,1.12,1.286993,0.52809,90,1.2595048520342516,1.1,1.0168539325842696,0.6506211709297168,0.8150748098,0.32542518006013677,32.5425
TAP,naive,predicted_naive,forecast_naive,stability anchor,0.05,0.25,0.85,1.484502,0.0,90,1.4845018271067767,0.85,0.7,0.5765344171865433,0.2915822815,0.1429214828063856,14.2921
TAP,moving_average_30d,predicted_moving_average_30d,forecast_moving_average_30d,smoothing baseline,0.03,0.2,0.95,4.749621,0.539326,90,1.4845018271067767,0.75,1.0235955056179775,0.20001516947119105,0.1458734228,0.07648696306773708,7.6487
TAP,drift,predicted_drift,forecast_drift,long-term baseline,0.03,0.2,0.95,1.482625,0.539326,90,1.4845018271067767,1.1,1.0235955056179775,0.5771589015556633,0.6173622343,0.2,20.0
TAP,recent_linear_trend_252d,predicted_recent_linear_trend_252d,forecast_recent_linear_trend_252d,aggressive trend baseline,0.0,0.15,0.8,6.500779,0.58427,90,1.4845018271067767,0.75,1.050561797752809,0.14813104613491196,0.0933724909,0.029755958631431618,2.9756
TAP,recent_momentum_10d,predicted_recent_momentum_10d,forecast_recent_momentum_10d,short-term momentum model,0.04,0.5,1.05,1.535321,0.516854,90,1.4845018271067767,1.1,1.0101123595505617,0.560123432094391,0.6534846799,0.24825259043683914,24.8253
TAP,adaptive_blended_momentum,predicted_adaptive_blended_momentum,forecast_adaptive_blended_momentum,main directional model,0.08,0.7,1.12,1.519845,0.505618,90,1.4845018271067767,1.1,1.003370786516854,0.5650213255599289,0.6984526987,0.3025830050576065,30.2583
TDG,naive,predicted_naive,forecast_naive,stability anchor,0.05,0.25,0.85,1.50792,0.0,90,1.507920109475867,0.85,0.7,0.5688540648745154,0.2876979433,0.14089729552821725,14.0897
TDG,moving_average_30d,predicted_moving_average_30d,forecast_moving_average_30d,smoothing baseline,0.03,0.2,0.95,4.663534,0.460674,90,1.507920109475867,0.75,0.9764044943820225,0.20351950230799007,0.1415861167,0.07473370557584046,7.4734
TDG,drift,predicted_drift,forecast_drift,long-term baseline,0.03,0.2,0.95,1.51413,0.449438,90,1.507920109475867,1.1,0.9696629213483146,0.5668517290548678,0.5743895832,0.2,20.0
TDG,recent_linear_trend_252d,predicted_recent_linear_trend_252d,forecast_recent_linear_trend_252d,aggressive trend baseline,0.0,0.15,0.8,4.725835,0.460674,90,1.507920109475867,0.75,0.9764044943820225,0.20097131402446095,0.1177375766,0.037198831411841715,3.7199
TDG,recent_momentum_10d,predicted_recent_momentum_10d,forecast_recent_momentum_10d,short-term momentum model,0.04,0.5,1.05,1.576829,0.516854,90,1.507920109475867,1.1,1.0101123595505617,0.5473967050653569,0.6386366649,0.24177532377381641,24.1775
