sector,snapshot_count,complete_count,avg_forecast_30d_upside_pct,avg_return_5d_pct,avg_return_10d_pct,avg_return_30d_pct,hit_rate_30d_pct
Unknown,5700,3526,1.3243,0.3043,0.8291,3.5428,49.01
Industrials,5092,3149,1.1207,0.0587,0.1305,0.9695,50.37
Financial Services,4588,2820,1.7611,0.6669,1.3579,4.4662,56.7
Technology,4560,2820,1.8546,0.1608,0.6745,3.9972,48.19
Consumer Cyclical,4324,2664,0.653,-0.1891,-0.3087,0.1498,46.96
Healthcare,4028,2491,2.1834,0.9018,1.8034,6.9404,56.04
Consumer Defensive,2584,1598,0.7359,0.5031,0.8978,3.1304,47.18
Real Estate,2172,1323,0.2097,-0.1962,-0.4961,-0.7491,46.64
Utilities,2128,1316,-0.0836,-0.2712,-0.5763,-3.0062,42.78
Basic Materials,1596,987,0.4402,-0.111,0.1327,1.5366,42.96
Energy,1520,940,2.2645,0.887,1.8995,8.6774,54.89
Communication Services,1270,768,0.8039,0.2435,0.5979,4.642,48.7
